threshold,tn,fp,fn,tp,total_urls,phishing_real,alerts,recall,precision,false_positive_rate,cost_without_model,cost_with_model,review_cost,operational_cost,operational_cost_total,net_savings,roi,value_per_1000_urls,annual_cost_without_model,annual_cost_with_model,annual_net_savings,value_test,value_per_case,annual_value
0.79,554,12,65,539,1170,604,551,0.892384,0.978221,0.021201,302000.0,34487.0,1102.0,585.0,1687.0,267513.0,158.573207,228643.59,25811965.81,2947606.84,22864358.97,267513.0,228.6436,22864358.97
0.8,556,10,69,535,1170,604,545,0.885762,0.981651,0.017668,302000.0,36425.0,1090.0,585.0,1675.0,265575.0,158.552239,226987.18,25811965.81,3113247.86,22698717.95,265575.0,226.9872,22698717.95
0.81,556,10,72,532,1170,604,542,0.880795,0.98155,0.017668,302000.0,37919.0,1084.0,585.0,1669.0,264081.0,158.227082,225710.26,25811965.81,3240940.17,22571025.64,264081.0,225.7103,22571025.64
0.82,558,8,76,528,1170,604,536,0.874172,0.985075,0.014134,302000.0,39857.0,1072.0,585.0,1657.0,262143.0,158.20338,224053.85,25811965.81,3406581.2,22405384.62,262143.0,224.0538,22405384.62
0.83,560,6,78,526,1170,604,532,0.870861,0.988722,0.010601,302000.0,40799.0,1064.0,585.0,1649.0,261201.0,158.399636,223248.72,25811965.81,3487094.02,22324871.79,261201.0,223.2487,22324871.79
0.84,561,5,80,524,1170,604,529,0.86755,0.990548,0.008834,302000.0,41768.0,1058.0,585.0,1643.0,260232.0,158.388314,222420.51,25811965.81,3569914.53,22242051.28,260232.0,222.4205,22242051.28
0.85,561,5,82,522,1170,604,527,0.864238,0.990512,0.008834,302000.0,42764.0,1054.0,585.0,1639.0,259236.0,158.167175,221569.23,25811965.81,3655042.74,22156923.08,259236.0,221.5692,22156923.08
0.86,561,5,84,520,1170,604,525,0.860927,0.990476,0.008834,302000.0,43760.0,1050.0,585.0,1635.0,258240.0,157.944954,220717.95,25811965.81,3740170.94,22071794.87,258240.0,220.7179,22071794.87
0.87,562,4,87,517,1170,604,521,0.85596,0.992322,0.007067,302000.0,45227.0,1042.0,585.0,1627.0,256773.0,157.819914,219464.1,25811965.81,3865555.56,21946410.26,256773.0,219.4641,21946410.26
0.88,564,2,94,510,1170,604,512,0.844371,0.996094,0.003534,302000.0,48659.0,1024.0,585.0,1609.0,253341.0,157.452455,216530.77,25811965.81,4158888.89,21653076.92,253341.0,216.5308,21653076.92
0.89,564,2,98,506,1170,604,508,0.837748,0.996063,0.003534,302000.0,50651.0,1016.0,585.0,1601.0,251349.0,156.995003,214828.21,25811965.81,4329145.3,21482820.51,251349.0,214.8282,21482820.51
0.9,564,2,99,505,1170,604,507,0.836093,0.996055,0.003534,302000.0,51149.0,1014.0,585.0,1599.0,250851.0,156.879925,214402.56,25811965.81,4371709.4,21440256.41,250851.0,214.4026,21440256.41
0.91,565,1,103,501,1170,604,502,0.82947,0.998008,0.001767,302000.0,53114.0,1004.0,585.0,1589.0,248886.0,156.630585,212723.08,25811965.81,4539658.12,21272307.69,248886.0,212.7231,21272307.69
0.92,566,0,109,495,1170,604,495,0.819536,1.0,0.0,302000.0,56075.0,990.0,585.0,1575.0,245925.0,156.142857,210192.31,25811965.81,4792735.04,21019230.77,245925.0,210.1923,21019230.77
0.93,566,0,113,491,1170,604,491,0.812914,1.0,0.0,302000.0,58067.0,982.0,585.0,1567.0,243933.0,155.668794,208489.74,25811965.81,4962991.45,20848974.36,243933.0,208.4897,20848974.36
0.94,566,0,114,490,1170,604,490,0.811258,1.0,0.0,302000.0,58565.0,980.0,585.0,1565.0,243435.0,155.549521,208064.1,25811965.81,5005555.56,20806410.26,243435.0,208.0641,20806410.26
0.95,566,0,119,485,1170,604,485,0.80298,1.0,0.0,302000.0,61055.0,970.0,585.0,1555.0,240945.0,154.948553,205935.9,25811965.81,5218376.07,20593589.74,240945.0,205.9359,20593589.74
